localBodyCode,localBodyName,districtCode,districtName,lb_total_pincodes,district_total_pins,common_pincodes,overlap_%,lb_pincodes,common_pincode_list
248679,Chhapar,96,Churu,4,25,1,25.0,"[313325, 328024, 328027, 331502]",[331502]
248679,Chhapar,98,Dholpur,4,13,2,50.0,"[313325, 328024, 328027, 331502]","[328024, 328027]"
248679,Chhapar,112,Rajsamand,4,26,1,25.0,"[313325, 328024, 328027, 331502]",[313325]
248679,Chhapar,117,Udaipur,4,47,1,25.0,"[313325, 328024, 328027, 331502]",[313325]
251209,Vadodara,461,Vadodara,25,65,16,64.0,"[390001, 390002, 390003, 390004, 390006, 390007, 390009, 390010, 390011, 390012, 390013, 390014, 390016, 390017, 390018, 390019, 390020, 390021, 390022, 390023, 390024, 390025, 391320, 391345, 391750]","[390001, 390003, 390004, 390009, 390010, 390011, 390012, 390013, 390014, 390019, 390020, 390022, 390023, 390024, 390025, 391320]"
290358,Kadegaon.,484,Nagpur,2,51,1,50.0,"[415304, 441101]",[441101]
290358,Kadegaon.,493,Sangli,2,65,1,50.0,"[415304, 441101]",[415304]
248865,Aklera,98,Dholpur,4,13,2,50.0,"[313325, 326033, 328024, 328027]","[328024, 328027]"
248865,Aklera,105,Jhalawar,4,18,1,25.0,"[313325, 326033, 328024, 328027]",[326033]
248865,Aklera,112,Rajsamand,4,26,1,25.0,"[313325, 326033, 328024, 328027]",[313325]
248865,Aklera,117,Udaipur,4,47,1,25.0,"[313325, 326033, 328024, 328027]",[313325]
290382,Niwari,415,Mandla,2,18,1,50.0,"[472442, 481776]",[481776]
290382,Niwari,434,Tikamgarh,2,14,1,50.0,"[472442, 481776]",[472442]
290382,Niwari,722,Niwari,2,7,1,50.0,"[472442, 481776]",[472442]
252157,Vatakara,555,Ernakulam,4,89,2,50.0,"[673101, 682301, 682304, 683104]","[682301, 682304]"
252157,Vatakara,561,Kozhikode,4,70,1,25.0,"[673101, 682301, 682304, 683104]",[673101]
252204,Irinjalakuda,555,Ernakulam,4,89,2,50.0,"[680121, 682301, 682304, 683104]","[682301, 682304]"
252204,Irinjalakuda,566,Thrissur,4,139,1,25.0,"[680121, 682301, 682304, 683104]",[680121]
248784,Falna,98,Dholpur,4,13,2,50.0,"[306116, 313325, 328024, 328027]","[328024, 328027]"
248784,Falna,111,Pali,4,40,1,25.0,"[306116, 313325, 328024, 328027]",[306116]
248784,Falna,112,Rajsamand,4,26,1,25.0,"[306116, 313325, 328024, 328027]",[313325]
248784,Falna,117,Udaipur,4,47,1,25.0,"[306116, 313325, 328024, 328027]",[313325]
272908,Pandalam,555,Ernakulam,5,89,2,40.0,"[682301, 682304, 683104, 689501, 689503]","[682301, 682304]"
272908,Pandalam,564,Pathanamthitta,5,61,2,40.0,"[682301, 682304, 683104, 689501, 689503]","[689501, 689503]"
301913,Dundlod,106,Jhunjhunu,3,51,1,33.33,"[305921, 313203, 333702]",[333702]
301913,Dundlod,112,Rajsamand,3,26,1,33.33,"[305921, 313203, 333702]",[305921]
301913,Dundlod,117,Udaipur,3,47,1,33.33,"[305921, 313203, 333702]",[313203]
301913,Dundlod,774,Beawar,3,34,1,33.33,"[305921, 313203, 333702]",[305921]
252903,Thenkarai,569,Coimbatore,3,81,2,66.67,"[625601, 641101, 641105]","[641101, 641105]"
252903,Thenkarai,588,Theni,3,31,1,33.33,"[625601, 641101, 641105]",[625601]
248799,Deoli,112,Rajsamand,2,26,1,50.0,"[304804, 313325]",[313325]
248799,Deoli,116,Tonk,2,17,1,50.0,"[304804, 313325]",[304804]
248799,Deoli,117,Udaipur,2,47,1,50.0,"[304804, 313325]",[313325]
249774,Khawhai,262,Champhai,2,3,1,50.0,"[796310, 796321]",[796321]
249774,Khawhai,728,Khawzawl,2,2,1,50.0,"[796310, 796321]",[796310]
253254,Puttaparthi,517,Prakasam,3,52,1,33.33,"[515134, 523240, 523357]",[523240]
253254,Puttaparthi,754,Sri Sathya Sai,3,47,1,33.33,"[515134, 523240, 523357]",[515134]
253254,Puttaparthi,790,Markapuram,3,42,2,66.67,"[515134, 523240, 523357]","[523240, 523357]"
252205,Chalakudy,555,Ernakulam,4,89,2,50.0,"[680307, 682301, 682304, 683104]","[682301, 682304]"
277531,Laalganj,170,Mirzapur,2,15,1,50.0,"[230132, 231312]",[231312]
277531,Laalganj,174,Pratapgarh,2,42,1,50.0,"[230132, 231312]",[230132]
300492,Lakhipur Tc,282,Cachar,2,40,1,50.0,"[783129, 788103]",[788103]
300492,Lakhipur Tc,287,Goalpara,2,15,1,50.0,"[783129, 788103]",[783129]
300321,Narayana,98,Dholpur,4,13,2,50.0,"[303348, 313325, 328024, 328027]","[328024, 328027]"
300321,Narayana,102,Jaipur,4,74,1,25.0,"[303348, 313325, 328024, 328027]",[303348]
300321,Narayana,112,Rajsamand,4,26,1,25.0,"[303348, 313325, 328024, 328027]",[313325]
300321,Narayana,117,Udaipur,4,47,1,25.0,"[303348, 313325, 328024, 328027]",[313325]
254924,Tiruvuru,517,Prakasam,3,52,1,33.33,"[521235, 523240, 523357]",[523240]
254924,Tiruvuru,749,Ntr,3,37,1,33.33,"[521235, 523240, 523357]",[521235]
254924,Tiruvuru,790,Markapuram,3,42,2,66.67,"[521235, 523240, 523357]","[523240, 523357]"
272898,Mukkom,555,Ernakulam,4,89,2,50.0,"[673602, 682301, 682304, 683104]","[682301, 682304]"
272898,Mukkom,561,Kozhikode,4,70,1,25.0,"[673602, 682301, 682304, 683104]",[673602]
