localBodyCode,localBodyName,stateCode,stateName,lb_pincodes,total_lb_pincodes,num_candidate_districts,candidate_districts,overlap_percentages,top_districtCode,top_districtName,top_overlap_%,2nd_districtCode,2nd_districtName,2nd_overlap_%,disparity_value,disparity_category,unmatched_pin_count,unmatched_pincodes
249531,Varanasi,9,Uttar Pradesh,"[221001, 221003, 221004, 221005, 221007, 221008, 221010, 221012, 221103, 221106]",10,2,187:Varanasi(90.0%) | 135:Chandauli(10.0%),"{187: 90.0, 135: 10.0}",187,Varanasi,90.0,135.0,Chandauli,10.0,80.0,HIGH DISPARITY,1,[221012]
248822,Udaipur,8,Rajasthan,"[313001, 313002, 313003, 313027, 313205, 313206, 313301, 313331, 313604]",9,5,117:Udaipur(88.89%) | 112:Rajsamand(44.44%) | 777:Salumbar(33.33%) | 109:Kota(11.11%) | 774:Beawar(11.11%),"{117: 88.89, 112: 44.44, 777: 33.33, 109: 11.11, 774: 11.11}",117,Udaipur,88.89,112.0,Rajsamand,44.44,44.45,HIGH DISPARITY,1,[313002]
253094,Pondicherry,34,Puducherry,"[605001, 605004, 605005, 605007, 605106, 605110, 607402, 607403]",8,3,600:Pondicherry(87.5%) | 570:Cuddalore(62.5%) | 596:Viluppuram(12.5%),"{600: 87.5, 570: 62.5, 596: 12.5}",600,Pondicherry,87.5,570.0,Cuddalore,62.5,25.0,MODERATE DISPARITY,1,[605005]
248736,Jaipur Heritage,8,Rajasthan,"[302001, 302002, 302003, 302004, 302005, 302006, 302033]",7,1,102:Jaipur(85.71%),{102: 85.71},102,Jaipur,85.71,,,,85.71,HIGH DISPARITY,1,[302005]
250248,Uluberia,19,West Bengal,"[711305, 711307, 711308, 711310, 711315, 711316]",6,1,313:Howrah(83.33%),{313: 83.33},313,Howrah,83.33,,,,83.33,HIGH DISPARITY,1,[711308]
248325,S.A.S.Nagar - Mohali,3,Punjab,"[140603, 160055, 160059, 160062, 160071]",5,1,608:S.A.S Nagar(80.0%),{608: 80.0},608,S.A.S Nagar,80.0,,,,80.0,HIGH DISPARITY,1,[160062]
249595,Katihar,10,Bihar,"[854103, 854105, 854106, 854107, 854109]",5,1,201:Katihar(80.0%),{201: 80.0},201,Katihar,80.0,,,,80.0,HIGH DISPARITY,1,[854109]
251725,Rajahmundry,28,Andhra Pradesh,"[533101, 533103, 533105, 533106, 533107]",5,1,505:East Godavari(80.0%),{505: 80.0},505,East Godavari,80.0,,,,80.0,HIGH DISPARITY,1,[533106]
248156,Srinagar Municipal Corporation,1,Jammu And Kashmir,"[190001, 190002, 190003, 190005, 190006, 190007, 190008, 190009, 190010, 190011, 190012, 190014, 190015, 190017, 190019, 190020, 190021, 190023, 190024, 191101, 191121, 191132]",22,1,13:Srinagar(77.27%),{13: 77.27},13,Srinagar,77.27,,,,77.27,HIGH DISPARITY,5,"[190007, 190009, 190021, 190023, 191132]"
296931,Baseri,8,Rajasthan,"[313325, 328022, 328024, 328027]",4,3,98:Dholpur(75.0%) | 112:Rajsamand(25.0%) | 117:Udaipur(25.0%),"{98: 75.0, 112: 25.0, 117: 25.0}",98,Dholpur,75.0,112.0,Rajsamand,25.0,50.0,HIGH DISPARITY,0,
