stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
7,Delhi,81,North East,436,Seelam Pur,63971,Dayal Pur (Ct),110053
7,Delhi,82,North West,431,Saraswati Vihar,63931,Saoda,110081
7,Delhi,78,East,7585,Patparganj,63989,Chilla Saroda Bangar (Ct),110096
7,Delhi,78,East,7585,Patparganj,63985,Gharonda Neemka Bangar Alias Patpar Ganj (Ct),110093
7,Delhi,78,East,7585,Patparganj,63987,Kondli (Ct),110096
7,Delhi,80,North,7569,Burari,63912,Ibrahim Pur (Ct),110036
7,Delhi,80,North,7569,Burari,63955,Mukand Pur (Ct),110042
7,Delhi,81,North East,6083,Karawal Nagar,63959,Badar Pur Khadar,110090
7,Delhi,81,North East,6083,Karawal Nagar,63968,Sadat Pur Gujran (Ct),110090
7,Delhi,81,North East,6083,Karawal Nagar,63964,Sadat Pur Musalmanan (Un-Inhabited),110090
7,Delhi,794,Outer North,7582,Bawana,63922,Bawana (Ct),110039
7,Delhi,794,Outer North,7582,Bawana,63889,Katewara,110039
7,Delhi,794,Outer North,7582,Bawana,63947,Pooth Kalan (Ct),110099
7,Delhi,794,Outer North,7583,Mundka,63937,Lad Pur (Ct),110081
7,Delhi,794,Outer North,7583,Mundka,63944,Mohammad Pur Majri (Ct),110081
7,Delhi,794,Outer North,7583,Mundka,63930,Rasool Pur,110081
7,Delhi,794,Outer North,430,Narela,63872,Akbar Pur Majra,110036
7,Delhi,794,Outer North,430,Narela,63900,Garhi Khasru,110084
7,Delhi,794,Outer North,430,Narela,63885,Ghoga,110039
7,Delhi,794,Outer North,430,Narela,63916,Khera Kalan (Ct),110082
7,Delhi,794,Outer North,430,Narela,63919,Khera Khurd (Ct),110082
7,Delhi,794,Outer North,430,Narela,63869,Singhola,110040
7,Delhi,83,South,7587,Chhatarpur,64070,Asola (Ct),110074
7,Delhi,83,South,7587,Chhatarpur,64068,Dera Mandi (Ct),110047
7,Delhi,83,South,7587,Chhatarpur,64062,Gadai Pur,110030
7,Delhi,83,South,6080,Mehrauli,64056,Kusum Pur (Ct),110057
7,Delhi,670,South East,7573,Badarpur,64084,Meethapur (Ct),110044
7,Delhi,670,South East,7573,Badarpur,64085,Molar Band (Ct),110076
7,Delhi,84,South West,7581,Matiala,64028,Pindwala Khurd,110043
7,Delhi,84,South West,451,Najafgarh,64020,Isa Pur,110073
7,Delhi,84,South West,451,Najafgarh,64022,Malik Pur Zer-Najafgarh,110073
7,Delhi,84,South West,451,Najafgarh,64052,Roshan Pura Alias Dichaon Khurd (Ct),110043
7,Delhi,85,West,7591,Vikaspuri,64002,Bakkar Wala (Ct),110041
7,Delhi,85,West,7591,Vikaspuri,63991,Hastsal (Ct),110059
7,Delhi,81,North East,436,Seelam Pur,63966,Sher Pur,110094
7,Delhi,81,North East,436,Seelam Pur,63975,Tukhmir Pur (Ct),110094
7,Delhi,80,North,7569,Burari,63957,Burari (Ct),110084
7,Delhi,80,North,7569,Burari,63954,Jagat Pur Ilaqa Delhi,110084
7,Delhi,81,North East,7584,Gokalpur,63982,Mandoli (Ct),110093
7,Delhi,81,North East,7584,Gokalpur,63978,Ziauddin Pur (Ct),110094
7,Delhi,81,North East,6083,Karawal Nagar,63952,Badar Pur Majra Burari,110084
7,Delhi,82,North West,6078,Kanjhawala,63927,Budhan Pur,110081
7,Delhi,82,North West,6078,Kanjhawala,63924,Punjab Khor,110081
7,Delhi,794,Outer North,7582,Bawana,63888,Mungesh Pur,110039
7,Delhi,794,Outer North,7582,Bawana,63891,Nangal Thakran,110039
7,Delhi,794,Outer North,7582,Bawana,63918,Pehlad Pur Bangar (Ct),110042
7,Delhi,794,Outer North,7583,Mundka,63945,Karala (Ct),110081
7,Delhi,794,Outer North,7583,Mundka,63935,Nizam Pur Rashid Pur,110081
7,Delhi,794,Outer North,7583,Mundka,64003,Tikri Kalan (Ct),110041
7,Delhi,794,Outer North,430,Narela,63908,Bakhtawar Pur (Ct),110036
7,Delhi,794,Outer North,430,Narela,63909,Bankauli (Ct),110085
7,Delhi,794,Outer North,430,Narela,63905,Bankner (Ct),110040
7,Delhi,794,Outer North,430,Narela,63879,Fateh Pur Jat,110036
7,Delhi,794,Outer North,430,Narela,63893,Iradat Nagar Alias Naya Bans,110082
7,Delhi,794,Outer North,430,Narela,63866,Lam Pur,110040
7,Delhi,794,Outer North,430,Narela,63881,Shah Pur Garhi,110036
7,Delhi,794,Outer North,430,Narela,63876,Sunger Pur Shahdara (Un-Inhabited),110036
7,Delhi,794,Outer North,430,Narela,63907,Tikri Khurd (Ct),110040
7,Delhi,794,Outer North,430,Narela,63896,Zind Pur,110036
7,Delhi,83,South,7587,Chhatarpur,64073,Chattar Pur (Ct),110074
7,Delhi,83,South,7587,Chhatarpur,64061,Ghitorni (Ct),110030
7,Delhi,83,South,7587,Chhatarpur,64078,Saidul Azaib (Ct),110030
7,Delhi,83,South,7587,Chhatarpur,64064,Shahur Pur,110074
7,Delhi,83,South,7588,Deoli,64079,Tigri (Ct),110080
7,Delhi,670,South East,456,Kalkaji,64086,Aali (Ct),110076
7,Delhi,84,South West,7581,Matiala,64023,Darya Pur Khurd,110073
7,Delhi,84,South West,7581,Matiala,64027,Daulat Pur,110043
