stateCode,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
1,248034,Municipal Council Kupwara,Notified Area Council,8,Kupwara,FULL MATCH
1,248035,Municipal Committee Handwara,Municipality,8,Kupwara,FULL MATCH
1,248036,Municipal Committee Banihal,Municipality,621,Ramban,FULL MATCH
1,248037,Municipal Council Ramban,Notified Area Council,621,Ramban,FULL MATCH
1,248038,Municipal Council Doda,Notified Area Council,4,Doda,FULL MATCH
1,248039,Municipal Committee Batote,Municipality,"4, 621",Doda | Ramban,FULL MATCH
1,248040,Municipal Committee Bhaderwah,Municipality,4,Doda,FULL MATCH
1,248041,Municipal Council Kishtwar,Notified Area Council,620,Kishtwar,FULL MATCH
1,248042,Municipal Council Poonch,Notified Area Council,10,Poonch,FULL MATCH
2,248043,Nahan,Municipality,"24, 25",Sirmaur | Solan,FULL MATCH
2,248044,Dalhousie,Municipality,16,Chamba,FULL MATCH
2,248045,Paonta Sahib,Municipality,"24, 25",Sirmaur | Solan,FULL MATCH
2,248046,Chamba,Municipality,16,Chamba,FULL MATCH
2,248047,Rajgarh,Town Panchayat,24,Sirmaur,FULL MATCH
20,248049,Deoghar,Municipal Corporations,324,Deoghar,FULL MATCH
20,248050,Madhupur,Municipality,"324, 326",Deoghar | Dumka,AMBIGUOUS MATCH
20,248051,Godda,Municipality,"326, 330",Dumka | Godda,AMBIGUOUS MATCH
20,248052,Sahibganj,Municipality,"326, 340",Dumka | Sahebganj,AMBIGUOUS MATCH
20,248053,Rajmahal,Town Panchayat,340,Sahebganj,FULL MATCH
20,248054,Dumka,Municipality,326,Dumka,FULL MATCH
20,248055,Chirkunda,Municipality,326,Dumka,FULL MATCH
20,248056,Chas,Municipal Corporations,322,Bokaro,AMBIGUOUS MATCH
20,248057,Gumla,Municipality,326,Dumka,FULL MATCH
21,248058,Kamakhyanagar,Notified Area Council,352,Dhenkanal,FULL MATCH
21,248059,Bhuban,Notified Area Council,352,Dhenkanal,FULL MATCH
21,248060,Dhenkanal,Municipality,352,Dhenkanal,FULL MATCH
22,248061,Kurud,Municipality,377,Dhamtari,FULL MATCH
22,248062,Dhamtari,Municipal Corporations,377,Dhamtari,FULL MATCH
22,248063,Keshkal,Town Panchayat,"381, 643",Uttar Bastar Kanker | Kondagaon,FULL MATCH
22,248064,Narayanpur,Municipality,"381, 637, 643",Uttar Bastar Kanker | Narayanpur | Kondagaon,FULL MATCH
23,248065,Sidhi,Municipality,433,Sidhi,FULL MATCH
23,248066,Singrauli,Municipal Corporations,638,Singrauli,FULL MATCH
23,248067,Rampur Naikin,Town Panchayat,433,Sidhi,FULL MATCH
23,248068,Churhat,Town Panchayat,433,Sidhi,FULL MATCH
