stateCode,stateName,localBodyCode,localBodyName,localBodyType,districtCode,districtName,status
1,Jammu And Kashmir,248168,Municipal Committee Pahalgam,Municipality,1.0,Anantnag,FULL MATCH
1,Jammu And Kashmir,248169,Municipal Committee Bijbehara,Municipality,1.0,Anantnag,FULL MATCH
1,Jammu And Kashmir,248170,Municipal Committee Mattan,Municipality,1.0,Anantnag,FULL MATCH
1,Jammu And Kashmir,248171,Municipal Council Anantnag,Notified Area Council,1.0,Anantnag,AMBIGUOUS MATCH
1,Jammu And Kashmir,248172,Municipal Committee Achabal,Municipality,1.0,Anantnag,FULL MATCH
1,Jammu And Kashmir,248173,Municipal Committee Kokernag,Municipality,1.0,Anantnag,FULL MATCH
1,Jammu And Kashmir,248175,Municipal Committee Qazigund,Municipality,1.0,Anantnag,FULL MATCH
1,Jammu And Kashmir,248176,Municipal Committee Dooru Verinag,Municipality,1.0,Anantnag,FULL MATCH
1,Jammu And Kashmir,296990,Municipal Committee Ashmuqam,Municipality,1.0,Anantnag,FULL MATCH
1,Jammu And Kashmir,296991,Municipal Committee Seer Hamdan,Municipality,1.0,Anantnag,FULL MATCH
1,Jammu And Kashmir,248157,Municipal Committee Magam,Municipality,2.0,Budgam,FULL MATCH
1,Jammu And Kashmir,248158,Municipal Committee Beerwah,Municipality,2.0,Budgam,FULL MATCH
1,Jammu And Kashmir,248159,Municipal Council Budgam,Notified Area Council,2.0,Budgam,FULL MATCH
1,Jammu And Kashmir,248160,Municipal Committee Khansahib,Municipality,2.0,Budgam,FULL MATCH
1,Jammu And Kashmir,248161,Municipal Committee Chrari Sharief,Municipality,2.0,Budgam,FULL MATCH
1,Jammu And Kashmir,253136,Municipal Committee Chadoora,Municipality,2.0,Budgam,FULL MATCH
1,Jammu And Kashmir,248146,Municipal Council Bandipora,Notified Area Council,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248147,Municipal Committee Hajin,Municipality,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248148,Municipal Committee Sumbal,Municipality,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248149,Municipal Council Sopore,Notified Area Council,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248150,Municipal Committee Pattan,Municipality,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248151,Municipal Council Baramulla,Notified Area Council,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248152,Municipal Committee Uri,Municipality,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248153,Municipal Committee Kunzer,Municipality,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248154,Municipal Committee Gulmarg Tangmarg,Municipality,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248157,Municipal Committee Magam,Municipality,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,296985,Municipal Committee Watergam,Municipality,3.0,Baramulla,FULL MATCH
1,Jammu And Kashmir,248038,Municipal Council Doda,Notified Area Council,4.0,Doda,FULL MATCH
1,Jammu And Kashmir,248039,Municipal Committee Batote,Municipality,4.0,Doda,FULL MATCH
1,Jammu And Kashmir,248040,Municipal Committee Bhaderwah,Municipality,4.0,Doda,FULL MATCH
1,Jammu And Kashmir,254926,Municipal Committee Thathri,Municipality,4.0,Doda,FULL MATCH
1,Jammu And Kashmir,248191,Municipal Committee Jourian,Municipality,5.0,Jammu,FULL MATCH
1,Jammu And Kashmir,248192,Municipal Committee Akhnoor,Municipality,5.0,Jammu,FULL MATCH
1,Jammu And Kashmir,248193,Municipal Committee Khour,Municipality,5.0,Jammu,FULL MATCH
1,Jammu And Kashmir,248194,Jammu Municipal Corporation,Municipal Corporations,5.0,Jammu,AMBIGUOUS MATCH
1,Jammu And Kashmir,248195,Municipal Committee Ghou-Manhasan,Municipality,5.0,Jammu,FULL MATCH
1,Jammu And Kashmir,248196,Municipal Committee R S Pura,Municipality,5.0,Jammu,FULL MATCH
1,Jammu And Kashmir,248197,Municipal Committee Bishnah,Municipality,5.0,Jammu,FULL MATCH
1,Jammu And Kashmir,248198,Municipal Committee Arnia,Municipality,5.0,Jammu,FULL MATCH
1,Jammu And Kashmir,248204,Municipal Committee Billawar,Municipality,7.0,Kathua,FULL MATCH
1,Jammu And Kashmir,276584,Municipal Committee Lakhanpur,Municipality,7.0,Kathua,FULL MATCH
1,Jammu And Kashmir,276585,Municipal Committee Basohli,Municipality,7.0,Kathua,FULL MATCH
1,Jammu And Kashmir,276586,Municipal Committee Parole,Municipality,7.0,Kathua,FULL MATCH
1,Jammu And Kashmir,276594,Municipal Committee Hiranagar,Municipality,7.0,Kathua,FULL MATCH
1,Jammu And Kashmir,248034,Municipal Council Kupwara,Notified Area Council,8.0,Kupwara,FULL MATCH
1,Jammu And Kashmir,248035,Municipal Committee Handwara,Municipality,8.0,Kupwara,FULL MATCH
1,Jammu And Kashmir,248139,Municipal Committee Langate,Municipality,8.0,Kupwara,FULL MATCH
1,Jammu And Kashmir,248147,Municipal Committee Hajin,Municipality,8.0,Kupwara,FULL MATCH
