statecode,statename,districtcode,district_name,localbodycode,localbody_name,localbody_type,status,confidence_score,disparity_category,validation_flag,top3_candidates
1,Jammu And Kashmir,1,Anantnag,248168,Municipal Committee Pahalgam,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,1,Anantnag,248169,Municipal Committee Bijbehara,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,1,Anantnag,248170,Municipal Committee Mattan,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,1,Anantnag,248171,Municipal Council Anantnag,Notified Area Council,AMBIGUOUS MATCH,0.5,HIGH DISPARITY,NEARLY RESOLVABLE,1:Anantnag(50.0%)
1,Jammu And Kashmir,1,Anantnag,248172,Municipal Committee Achabal,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,1,Anantnag,248173,Municipal Committee Kokernag,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,1,Anantnag,248175,Municipal Committee Qazigund,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,1,Anantnag,248176,Municipal Committee Dooru Verinag,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,1,Anantnag,296990,Municipal Committee Ashmuqam,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,1,Anantnag,296991,Municipal Committee Seer Hamdan,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,2,Budgam,248157,Municipal Committee Magam,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,2,Budgam,248158,Municipal Committee Beerwah,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,2,Budgam,248159,Municipal Council Budgam,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,2,Budgam,248160,Municipal Committee Khansahib,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,2,Budgam,248161,Municipal Committee Chrari Sharief,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,2,Budgam,253136,Municipal Committee Chadoora,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,248146,Municipal Council Bandipora,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,248147,Municipal Committee Hajin,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,248148,Municipal Committee Sumbal,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,248149,Municipal Council Sopore,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,248150,Municipal Committee Pattan,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,248151,Municipal Council Baramulla,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,248152,Municipal Committee Uri,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,248153,Municipal Committee Kunzer,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,248154,Municipal Committee Gulmarg Tangmarg,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,3,Baramulla,296985,Municipal Committee Watergam,Municipality,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,4,Doda,248038,Municipal Council Doda,Notified Area Council,FULL MATCH,1.0,,EXACT MATCH,
1,Jammu And Kashmir,4,Doda,248039,Municipal Committee Batote,Municipality,FULL MATCH,1.0,,EXACT MATCH,
