stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
29,Karnataka,527,Belagavi,5437,Hukeri,939182,Parashyanahatti (Nrv),591243
29,Karnataka,543,Koppal,5465,Kushtagi,939204,Shakthinagar,583277
29,Karnataka,540,Haveri,7106,Rattihalli,924845,Hade,581119
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625278,Alurdoddanahalli,561203
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625403,Boovanahalli,561203
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625404,Doddasanne,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625163,Bommahalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625247,Dargajogihalli (Og),561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625124,Ekasipura,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625009,Gunjur,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625078,Honnaghatta,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,624961,Hosahalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625120,Jakkasandra,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,624959,Jakkenahalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625188,Joyis Agrahara,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625115,Kakkehalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,624975,Kukkalahalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625012,Lagumenahalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625101,Mallathahalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625110,Mandibyadarahalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625025,Melinanaikaradahalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,938753,Mutturu,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625102,Palanjogihalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625041,Shivalinga Pura,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625123,S.M. Gollahalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625029,Somasettihalli,561203
29,Karnataka,526,Bengaluru Rural,5602,Doddaballapura,625107,Talagavara,561203
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625373,Abachikkanahalli,562164
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625401,Akkalenahalli Mallena - Halli,562110
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625291,Aradeshahalli,562110
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,938780,Arishinakunte,562129
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625454,Baladimmanahalli,562165
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625273,Beerasandra,562110
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625439,Bettakote Amanikere,562165
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625378,Boodihal,562110
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,910262,Chikkahosahalli (D),562165
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625412,Chikkaramanahalli,562165
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625272,Chikkobanahalli,562110
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625358,Dasarahalli,562164
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625305,Devaganahalli,562110
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625463,Gangavara Chowdappana Halli,562165
29,Karnataka,526,Bengaluru Rural,5603,Devanahalli,625348,Guduvanahalli,562110
