stateCode,stateName,localBodyCode,localBodyName,localBodyType,total_pincodes,matching_pincodes,predicted_districtCode,predicted_districtName,overlap_%,confidence_level,validation_flag,strategy_used,2nd_best_districtCode,2nd_best_districtName,gap_to_2nd_%,top3_candidates
36,Telangana,248087,Mancherial,Municipality,1,1,501,Adilabad,100.0,High,AMBIGUOUS,S1:same_state+prefix3,699.0,Kumuram Bheem Asifabad,0.0,501:Adilabad (100.0%); 699:Kumuram Bheem Asifabad (100.0%); 684:Mancherial (100.0%)
36,Telangana,248097,Zaheerabad,Municipality,1,1,513,Medak,100.0,High,AMBIGUOUS,S1:same_state+prefix3,691.0,Sangareddy,0.0,513:Medak (100.0%); 691:Sangareddy (100.0%); 692:Siddipet (100.0%)
36,Telangana,248101,Mahabubnagar,Municipality,1,1,695,Jogulamba Gadwal,100.0,High,AMBIGUOUS,S1:same_state+prefix3,512.0,Mahabubnagar,0.0,695:Jogulamba Gadwal (100.0%); 512:Mahabubnagar (100.0%); 694:Nagarkurnool (100.0%)
36,Telangana,248104,Wanaparthy,Municipality,1,1,695,Jogulamba Gadwal,100.0,High,AMBIGUOUS,S1:same_state+prefix3,512.0,Mahabubnagar,0.0,695:Jogulamba Gadwal (100.0%); 512:Mahabubnagar (100.0%); 694:Nagarkurnool (100.0%)
36,Telangana,248105,Khammam,Municipal Corporations,1,1,690,Bhadradri Kothagudem,100.0,High,AMBIGUOUS,S1:same_state+prefix3,509.0,Khammam,0.0,690:Bhadradri Kothagudem (100.0%); 509:Khammam (100.0%); 688:Mahabubabad (100.0%)
28,Andhra Pradesh,248113,Guntakal,Municipality,1,1,754,Sri Sathya Sai,100.0,High,AMBIGUOUS,S1:same_state+prefix3,502.0,Ananthapuramu,0.0,754:Sri Sathya Sai (100.0%); 502:Ananthapuramu (100.0%)
28,Andhra Pradesh,248119,Madanapalli,Municipality,1,1,753,Annamayya,100.0,High,AMBIGUOUS,S1:same_state+prefix3,503.0,Chittoor,0.0,753:Annamayya (100.0%); 503:Chittoor (100.0%); 752:Tirupati (100.0%)
28,Andhra Pradesh,248121,Tirupati,Municipal Corporations,1,1,753,Annamayya,100.0,High,AMBIGUOUS,S1:same_state+prefix3,503.0,Chittoor,0.0,753:Annamayya (100.0%); 503:Chittoor (100.0%); 752:Tirupati (100.0%)
3,Punjab,248300,Dasua,Municipality,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248301,Gardhiwala,Municipality,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248302,Urmar Tanda,Municipality,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248303,Mukerian,Municipality,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248305,Talwara,Town Panchayat,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248306,Hariana,Municipality,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248308,Hoshiarpur,Municipal Corporations,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248309,Sham Chaurasi,Municipality,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248310,Mahilpur,Town Panchayat,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248311,Garhshankar,Municipality,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
3,Punjab,248315,Balachaur,Municipality,1,1,49,Dehradun,100.0,High,STRONG MATCH,S2:cross_state+prefix3,,,100.0,49:Dehradun (100.0%)
5,Uttarakhand,248434,Rishikesh,Municipal Corporations,1,1,50,Haridwar,100.0,High,AMBIGUOUS,S1:same_state+prefix3,52.0,Pauri Garhwal,0.0,50:Haridwar (100.0%); 52:Pauri Garhwal (100.0%); 53:Pithoragarh (100.0%)
5,Uttarakhand,248483,Landhaura,Town Panchayat,1,1,50,Haridwar,100.0,High,STRONG MATCH,S1:same_state+prefix3,,,100.0,50:Haridwar (100.0%)
6,Haryana,248521,Panipat,Municipal Corporations,1,1,67,Karnal,100.0,High,AMBIGUOUS,S1:same_state+prefix3,71.0,Panipat,0.0,67:Karnal (100.0%); 71:Panipat (100.0%)
9,Uttar Pradesh,248942,Kemri,Town Panchayat,1,1,154,Amroha,100.0,High,AMBIGUOUS,S1:same_state+prefix3,171.0,Moradabad,0.0,154:Amroha (100.0%); 171:Moradabad (100.0%); 659:Sambhal (100.0%)
9,Uttar Pradesh,249029,Vijaigarh,Town Panchayat,1,1,119,Aligarh,100.0,High,AMBIGUOUS,S1:same_state+prefix3,163.0,Hathras,0.0,119:Aligarh (100.0%); 163:Hathras (100.0%)
9,Uttar Pradesh,249286,Kanpur,Municipal Corporations,1,1,157,Kanpur Nagar,100.0,High,STRONG MATCH,S1:same_state+prefix3,,,100.0,157:Kanpur Nagar (100.0%)
9,Uttar Pradesh,249418,Khargupur,Town Panchayat,1,1,125,Bahraich,100.0,High,AMBIGUOUS,S1:same_state+prefix3,127.0,Balrampur,0.0,125:Bahraich (100.0%); 127:Balrampur (100.0%); 131:Basti (100.0%)
10,Bihar,249585,Jogabani,Municipality,1,1,201,Katihar,100.0,High,AMBIGUOUS,S1:same_state+prefix3,214.0,Purnia,0.0,201:Katihar (100.0%); 214:Purnia (100.0%); 188:Araria (100.0%)
10,Bihar,249599,Saharsa,Municipal Corporations,1,1,202,Khagaria,100.0,High,AMBIGUOUS,S1:same_state+prefix3,216.0,Saharsa,0.0,202:Khagaria (100.0%); 216:Saharsa (100.0%); 205:Madhepura (100.0%)
10,Bihar,249649,Khagaul,Municipality,1,1,209,Nalanda,100.0,High,AMBIGUOUS,S1:same_state+prefix3,212.0,Patna,0.0,209:Nalanda (100.0%); 212:Patna (100.0%)
13,Nagaland,249722,Kohima Municipal Council,Municipality,1,1,758,Chumoukedima,100.0,High,AMBIGUOUS,S1:same_state+prefix3,245.0,Kohima,0.0,758:Chumoukedima (100.0%); 245:Kohima (100.0%); 248:Phek (100.0%)
18,Assam,249851,Palasbari,Municipality,1,1,280,Barpeta,100.0,High,AMBIGUOUS,S1:same_state+prefix3,739.0,Bajali,0.0,280:Barpeta (100.0%); 739:Bajali (100.0%); 616:Baksa (100.0%)
18,Assam,249854,Guwahati,Municipal Corporations,1,1,280,Barpeta,100.0,High,AMBIGUOUS,S1:same_state+prefix3,739.0,Bajali,0.0,280:Barpeta (100.0%); 739:Bajali (100.0%); 616:Baksa (100.0%)
18,Assam,249882,North Lakhimpur,Municipality,1,1,284,Dhemaji,100.0,High,AMBIGUOUS,S1:same_state+prefix3,295.0,Lakhimpur,0.0,284:Dhemaji (100.0%); 295:Lakhimpur (100.0%); 706:Majuli (100.0%)
18,Assam,249925,Diphu,Town Panchayat,1,1,709,Hojai,100.0,High,AMBIGUOUS,S1:same_state+prefix3,618.0,Kamrup Metro,0.0,709:Hojai (100.0%); 618:Kamrup Metro (100.0%); 292:Karbi Anglong (100.0%)
18,Assam,249944,Hailakandi,Municipality,1,1,282,Cachar,100.0,High,AMBIGUOUS,S1:same_state+prefix3,289.0,Hailakandi,0.0,282:Cachar (100.0%); 289:Hailakandi (100.0%); 299:Dima Hasao (100.0%)
19,West Bengal,249956,Jalpaiguri,Municipality,1,1,308,Cooch Behar,100.0,High,AMBIGUOUS,S1:same_state+prefix3,314.0,Jalpaiguri,0.0,308:Cooch Behar (100.0%); 314:Jalpaiguri (100.0%); 702:Kalimpong (100.0%)
19,West Bengal,249975,Cooch Behar,Municipality,1,1,308,Cooch Behar,100.0,High,AMBIGUOUS,S1:same_state+prefix3,664.0,Alipurduar,0.0,308:Cooch Behar (100.0%); 664:Alipurduar (100.0%)
19,West Bengal,249998,Murshidabad,Municipality,1,1,319,Murshidabad,100.0,High,STRONG MATCH,S1:same_state+prefix3,,,100.0,319:Murshidabad (100.0%)
19,West Bengal,250024,Rampurhat,Municipality,1,1,307,Birbhum,100.0,High,AMBIGUOUS,S1:same_state+prefix3,319.0,Murshidabad,0.0,307:Birbhum (100.0%); 319:Murshidabad (100.0%)
19,West Bengal,250098,Taherpur,Notified Area Council,1,1,320,Nadia,100.0,High,AMBIGUOUS,S1:same_state+prefix3,319.0,Murshidabad,0.0,320:Nadia (100.0%); 319:Murshidabad (100.0%)
19,West Bengal,250102,Cooper S Camp,Notified Area Council,1,1,320,Nadia,100.0,High,AMBIGUOUS,S1:same_state+prefix3,319.0,Murshidabad,0.0,320:Nadia (100.0%); 319:Murshidabad (100.0%)
19,West Bengal,250129,Garulia,Municipality,1,1,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250136,Madhyamgram,Municipality,1,1,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
19,West Bengal,250139,New Barrackpore,Municipality,1,1,303,North 24 Parganas,100.0,High,AMBIGUOUS,S1:same_state+prefix3,304.0,South 24 Parganas,0.0,303:North 24 Parganas (100.0%); 304:South 24 Parganas (100.0%)
