pincode,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish
744101,602,South Andamans,5923,Port Blair,645548,North Sentinel Island (Sa)
522101,750,Bapatla,5093,Bapatla,590474,Bapatla East (R)
522265,750,Bapatla,5096,Repalle,930393,Parisapadu
522265,750,Bapatla,5096,Repalle,590506,Uppudi
517408,503,Chittoor,5417,Gangavaram,596586,Jeedimakulapalle
517408,503,Chittoor,5417,Gangavaram,596587,Maredupalle
517425,503,Chittoor,5427,Kuppam,596911,Bandasettipalle (Rural)
517425,503,Chittoor,5427,Kuppam,596944,Bathalapalle
517425,503,Chittoor,5427,Kuppam,596935,Bevanapalle
517425,503,Chittoor,5427,Kuppam,596915,Kangundi
517425,503,Chittoor,5427,Kuppam,596930,Kothapalle
517425,503,Chittoor,5427,Kuppam,596973,Kuppam (Ct)
517425,503,Chittoor,5427,Kuppam,596929,Mittapalle
517425,503,Chittoor,5427,Kuppam,596925,Noolakunta
517425,503,Chittoor,5427,Kuppam,596960,Paipalyam
517425,503,Chittoor,5427,Kuppam,930522,Samaguttapalle
517425,503,Chittoor,5427,Kuppam,596970,T.Sadumur
517425,503,Chittoor,5427,Kuppam,596957,Vasanadugolla Palle
517590,503,Chittoor,5406,Nagari,930510,Nagari
517590,503,Chittoor,5406,Nagari,596397,Srinivasapuram
517590,503,Chittoor,5406,Nagari,596386,Velavadi
517408,503,Chittoor,5422,Palamaner,596737,Ankamvaripalle
517408,503,Chittoor,5422,Palamaner,596729,Jagamarla
517408,503,Chittoor,5422,Palamaner,596733,Jallipeta
517408,503,Chittoor,5416,Peddapanjani,596558,Battamdoddi
517408,503,Chittoor,5416,Peddapanjani,596567,Bommarajupalle
517408,503,Chittoor,5416,Peddapanjani,596569,Chalamangalam
517408,503,Chittoor,5416,Peddapanjani,596575,Gamkonda
517408,503,Chittoor,5416,Peddapanjani,596559,Karasanapalle
517408,503,Chittoor,5416,Peddapanjani,596577,Nagireddipalle
517408,503,Chittoor,5416,Peddapanjani,596573,Suddagundlapalle
533201,747,Dr. B.R. Ambedkar Konaseema,4941,Amalapuram,587879,Amalapuram (R)
534301,505,East Godavari,4959,Chagallu,588292,Daravaram
534301,505,East Godavari,4959,Chagallu,588289,Kalavalapalle
534301,505,East Godavari,4960,Nidadavole,588301,Surapuram
533107,505,East Godavari,4907,Rajamahendravaram Rural,912435,Pidimgoyyi
533101,505,East Godavari,4906,Rajamahendravaram Urban,930965,Rajajmundry Urban
534460,748,Eluru,4944,Chintalapudi,587945,Gopalapuram
534460,748,Eluru,4944,Chintalapudi,587949,Kanupade
534460,748,Eluru,4944,Chintalapudi,587930,Namavaram
534460,748,Eluru,4944,Chintalapudi,587935,Rangapuram Khandrika
534460,748,Eluru,4944,Chintalapudi,587944,Recharla
534460,748,Eluru,4944,Chintalapudi,587934,Seethanagaram
534447,748,Eluru,4953,Jangareddigudem,588177,Jangareddigudem
534007,748,Eluru,4965,Pedapadu,588394,Kokkirapadu
534002,748,Eluru,4964,Pedavegi,588391,Gokinepalle
522034,506,Guntur,6833,Guntur East,590241,Gorantla (Part)
533450,746,Kakinada,4911,Pithapuram,587475,Chitrada
533450,746,Kakinada,4911,Pithapuram,587470,Fakruddinpalem
533450,746,Kakinada,4911,Pithapuram,587460,Gokivada
533450,746,Kakinada,4911,Pithapuram,587474,Kandarada
533450,746,Kakinada,4910,Samalkota,587441,Pandravada
533450,746,Kakinada,4910,Samalkota,587440,Pavara
533440,746,Kakinada,4910,Samalkota,930969,Samalkota
521366,510,Krishna,5031,Guduru,589654,Lellagaruvu
521366,510,Krishna,7429,Machilipatnam North,589718,Buddalapalem
521165,510,Krishna,5026,Pamidimukkala,589543,Fathelanka
521366,510,Krishna,5030,Pedana,589623,Chennuru
521366,510,Krishna,5030,Pedana,589622,Kamalapuram
521366,510,Krishna,5030,Pedana,589646,Konkepudi
521366,510,Krishna,5030,Pedana,589648,Nadupuru
521366,510,Krishna,5030,Pedana,929844,Pedana
521134,510,Krishna,5024,Penamaluru,589504,Pedapulipaka
521165,510,Krishna,5025,Thotlavalluru,589521,Garikaparru
521165,510,Krishna,5025,Thotlavalluru,589522,Kanakavalli
521165,510,Krishna,5025,Thotlavalluru,589520,Yakamuru
518466,511,Kurnool,5257,Gudur,593879,Gudipadu
518466,511,Kurnool,5257,Gudur,593875,Mallapuram
518466,511,Kurnool,5259,Kurnool Rural,593904,Sunkesula
518360,511,Kurnool,5255,Nandavaram,593852,Joharapuram
518360,511,Kurnool,5254,Yemmiganur,593834,Gudikal
518360,511,Kurnool,5254,Yemmiganur,593831,Parlapalle
518360,511,Kurnool,5254,Yemmiganur,593829,Pesaladinne
518360,511,Kurnool,5254,Yemmiganur,593824,Soganur
523230,790,Markapuram,5136,Kanigiri,591280,Chennakesavapuram
523230,790,Markapuram,5136,Kanigiri,591284,Chirla Dinne
523230,790,Markapuram,5136,Kanigiri,591275,Lingojipuram
518543,755,Nandyal,5298,Allagadda,594550,Bachepalle
518543,755,Nandyal,5298,Allagadda,594546,Kotha Kandukur
518543,755,Nandyal,5298,Allagadda,594532,Nallagatla
518543,755,Nandyal,5298,Allagadda,594539,Obulampalle
518543,755,Nandyal,5298,Allagadda,594538,Padakandla
518543,755,Nandyal,5298,Allagadda,594544,Patha Kandukur
518543,755,Nandyal,5298,Allagadda,594543,S.Lingamdinne
518442,755,Nandyal,5265,Atmakur,593987,Bairlutygudem
518401,755,Nandyal,5262,Jupadu Bunglow,593954,Tarigopula
518401,755,Nandyal,5262,Jupadu Bunglow,593951,Tatipadu
518422,755,Nandyal,5263,Kothapalle,593970,Kokkerancha
518422,755,Nandyal,5263,Kothapalle,593965,Kothapalle
518401,755,Nandyal,5260,Nandikotkur,593932,Nandi Kotkur
518442,755,Nandyal,5266,Pamulapadu,593996,Bhanumukkala
518442,755,Nandyal,5266,Pamulapadu,593993,Chelimella
