stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167678,Saithua,224176
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167387,Saray Nelkanth,224176
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,940736,Sarya,224176
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167513,Shahpur Mahamudpur,224181
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167788,Shekhaulia,224137
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167488,Shiv Tara,224129
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167553,Sohdhau,224176
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167600,Solhwa,224147
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167565,Sujawal Pur,224176
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167352,Sultanpur Tappa Chahoda,224176
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167567,Syampur Alaupur,224155
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167722,Tarem,224176
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167495,Thatthapur,224176
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167638,Tikoriya Bujurg,224137
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167530,Udharanpur,224147
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167742,Umrauna,224176
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167564,Vishunpur Kasdha,224181
9,Uttar Pradesh,121,Ambedkar Nagar,908,Allapur,167552,Yogepur,224181
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168511,Arjunpur,224152
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168456,Asagavan,224141
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,940742,Bahorikpur,224168
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168670,Balai Pur,224168
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168488,Bhagana Patti,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168614,Bhagwan Patti,224168
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168459,Bhataule,224231
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168467,Dilavalpur,224152
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168540,Dupahe,224152
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168557,Ganapur,224168
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168601,Gaura,224152
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168635,Gharvas Pur Choubey,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168596,Goitha,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168426,Jaitpur Nidhiyawan,224123
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168526,Kahi,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168629,Karampur,224123
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168626,Khemapur,224157
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168581,Loha Zara,224123
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168651,Loknath Pur,224231
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168585,Mahamadpur Chapara,224123
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168466,Mahamadpur Rayganj,224123
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168439,Mahamoodpur,224123
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168649,Maharuva,224231
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168430,Makarandpur,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168559,Manikpur,224168
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168545,Mazava,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168667,Milai,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168420,Mukeri Pur,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168438,Nagahara,224168
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168507,Nurudeenpur,224168
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168521,Pakadi Najaupur,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168444,Panday Pakoole,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168441,Rajpal Sonva,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168663,Rampur Nonsila,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168499,Ratnatpur,224168
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168571,Revna,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168616,Sakhona Perpur,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168531,Sammanpur Chitoniya,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168547,Sariya,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168460,Shapur Maniyaripatti,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168490,Sonava,224132
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168452,Tandaule,224123
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168542,Teriya,224123
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168639,Vehad Pur,224152
9,Uttar Pradesh,121,Ambedkar Nagar,911,Bhiti,168599,Visunpur,224141
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168016,Ahirooli,224125
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167934,Ajanpara,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168046,Ambarpur,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168021,Amdahi,224125
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167810,Andalpur,224139
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167929,Barooli Asanundpur,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168066,Berma,224139
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167924,Bhadoi,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168080,Bhikhpur Kala,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167890,Bhiswa Chitoona,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167937,Bhusma,224139
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167910,Bibipur,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168074,Bihjadpur,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167807,Brahimpur,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168027,Budroddinpur,224139
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167854,Daudpur,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167957,Deosara,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167834,Dudhai,224183
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167944,Faridpur,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167971,Faridpur Kodra,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168058,Gobindpur,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167935,Guapa Kar,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168001,Haswapur,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167905,Hussainpur Bifhan,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168019,Indhna,224125
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168105,Jafarpur Sakrooli,224125
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168112,Jalalpur Dehat (Ct),224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167940,Jamooli,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167969,Jolhapur North,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167997,Karimnagar,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168033,Kishunpur Kabirha,224125
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167974,Kodri,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168060,Kopa,224149
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167870,Kutghar Musa,224186
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167826,Labhapar,224139
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167946,Larpur South,224186
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167913,Maheshpur,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167830,Mathurapur,224139
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167860,Meuria,224159
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,168031,Mirjapur,224125
9,Uttar Pradesh,121,Ambedkar Nagar,909,Jalalpur,167866,Moinuddinpur,224149
